2019-03-14,10975,50.797,4.359
2019-03-14,12542,49.555,25.594
2019-03-14,397,24.074,120.340
2019-03-14,10689,27.221,78.010
2019-03-14,11390,52.015,5.432
2019-03-14,20157,56.820,24.415
2019-03-14,20782,51.809,5.645
2019-03-14,22266,49.440,11.078
2019-03-14,11813,43.762,-79.185
2019-03-14,12246,52.023,4.692
2019-03-14,13030,54.644,9.760
2019-03-14,14880,51.278,12.588
2019-03-14,16397,51.434,6.115
2019-03-14,16632,-32.879,-68.877
2019-03-14,19975,37.407,-122.100
2019-03-14,20201,37.448,-122.127
2019-03-14,20818,40.427,-86.872
2019-03-14,21358,50.852,20.633
2019-03-14,21957,50.298,18.780
2019-03-14,22117,50.173,19.143
2019-03-14,22527,53.378,-1.526
2019-03-14,8761,42.139,24.794
2019-03-14,107,48.531,9.200
2019-03-14,22581,48.536,9.052
2019-03-14,3077,51.358,6.873
2019-03-14,1000,47.805,12.858,de
2019-03-14,10001,42.670,23.268
2019-03-14,10003,42.655,23.383
2019-03-14,10005,42.626,23.381
2019-03-14,10007,41.767,26.204
2019-03-14,10009,48.653,9.250
2019-03-14,10011,48.252,10.900,de
2019-03-14,10013,20.595,-100.397
2019-03-14,10017,52.238,8.025
2019-03-14,10023,44.109,27.266
2019-03-14,10025,50.859,12.073
2019-03-14,10029,52.055,8.524
2019-03-14,10031,44.272,19.892
2019-03-14,10035,50.493,12.129
2019-03-14,10039,49.469,11.023
2019-03-14,1004,53.481,10.174
2019-03-14,10041,49.068,12.058
2019-03-14,10043,49.351,7.642
2019-03-14,10045,50.878,4.741
2019-03-14,10050,46.943,7.432
2019-03-14,10056,51.287,7.518
2019-03-14,10059,49.305,8.635
2019-03-14,10061,52.382,5.271
2019-03-14,10063,52.359,13.135
2019-03-14,10065,48.735,9.336
2019-03-14,10069,53.720,10.013
2019-03-14,10072,51.406,6.698
2019-03-14,10074,42.680,23.287
2019-03-14,10076,42.619,23.360
2019-03-14,10078,42.543,22.967
2019-03-14,1008,52.001,8.494
2019-03-14,10080,42.664,23.529
2019-03-14,10082,48.528,8.078
2019-03-14,10084,52.229,9.845
2019-03-14,10088,49.870,8.664
2019-03-14,10090,51.387,6.779
2019-03-14,10092,48.092,11.485,de
2019-03-14,10096,42.662,23.465
2019-03-14,10098,42.656,23.374
2019-03-14,1010,48.744,10.107,de
2019-03-14,10100,51.258,4.436
2019-03-14,10102,53.892,11.468
2019-03-14,10104,53.090,7.569
2019-03-14,10110,49.797,9.935
2019-03-14,10112,51.364,6.787
2019-03-14,10114,43.260,27.812
2019-03-14,10116,48.792,9.012
2019-03-14,10118,48.452,12.371,de
2019-03-14,10120,45.176,5.713
2019-03-14,10122,49.038,8.710
2019-03-14,10124,51.380,6.745
2019-03-14,10126,42.608,23.362
2019-03-14,10128,50.720,7.044
2019-03-14,10132,50.925,7.080
2019-03-14,10134,48.850,8.924
2019-03-14,1014,48.118,11.628,de
2019-03-14,10142,54.087,13.446
2019-03-14,10146,41.832,23.487
2019-03-14,10148,50.919,6.375
2019-03-14,10150,52.319,4.644
2019-03-14,10154,48.570,7.916
2019-03-14,10156,52.671,13.622
2019-03-14,10158,42.698,23.228
2019-03-14,10160,41.768,26.206
2019-03-14,10162,52.556,13.384
2019-03-14,10164,53.627,10.032
2019-03-14,10168,52.528,13.447
2019-03-14,10170,50.922,6.988
2019-03-14,10174,38.705,0.152
2019-03-14,10179,51.451,-2.611
2019-03-14,1018,42.643,23.409
2019-03-14,10181,50.739,7.091
2019-03-14,10183,50.894,6.964
2019-03-14,10189,49.910,9.060
2019-03-14,10191,50.849,4.504
2019-03-14,10199,51.362,6.754
2019-03-14,1020,42.647,23.270
2019-03-14,10201,42.584,23.164
2019-03-14,10203,51.444,6.906
2019-03-14,10207,52.733,8.503
2019-03-14,10209,42.864,12.014
