2019-02-28,541,48.726,9.383,
2019-02-28,81,49.083,9.609,
2019-02-28,10797,42.674,23.289,
2019-02-28,10813,51.051,13.729,
2019-02-28,10922,59.495,17.977,
2019-02-28,11463,49.392,8.781,
2019-02-28,11512,53.555,10.042,
2019-02-28,12198,42.58,27.294,
2019-02-28,12257,47.986,7.835,
2019-02-28,12988,51.273,4.408,
2019-02-28,13242,41.744,13.153,
2019-02-28,13498,50.956,3.632,
2019-02-28,13735,52.394,10.064,
2019-02-28,13776,48.681,9.421,
2019-02-28,14149,49.189,10.026,
2019-02-28,14334,50.597,7.084,
2019-02-28,14336,49.349,11.151,
2019-02-28,144,48.931,8.958,
2019-02-28,14522,50.825,4.35,
2019-02-28,14673,48.791,9.408,
2019-02-28,14878,51.026,7.036,
2019-02-28,1501,48.808,9.219,
2019-02-28,15045,48.494,9.215,
2019-02-28,15059,51.674,7.347,
2019-02-28,15206,51.439,7.374,
2019-02-28,15212,51.42,7.342,
2019-02-28,1531,53.139,8.211,
2019-02-28,15581,18.234,-71.84,
2019-02-28,15732,50.993,4.266,
2019-02-28,16107,49.591,11.031,
2019-02-28,16129,51.917,7.524,
2019-02-28,16452,53.564,9.98,
2019-02-28,16952,48.237,16.39,at
2019-02-28,16984,47.736,9.465,
2019-02-28,17119,50.827,4.334,
2019-02-28,17269,51.582,7.211,
2019-02-28,17289,18.359,105.899,
2019-02-28,17304,18.355,105.88,
2019-02-28,17439,51.338,12.416,
2019-02-28,1745,52.127,8.401,
2019-02-28,17492,50.938,3.118,
2019-02-28,17654,48.303,14.283,
2019-02-28,17710,57.719,12.134,
2019-02-28,17899,48.783,9.16,
2019-02-28,17919,51.621,6.532,
2019-02-28,1803,48.098,11.511,
2019-02-28,18052,50.59,8.635,
2019-02-28,18080,33.234,-97.129,
2019-02-28,18134,42.062,-88.234,
2019-02-28,18314,50.037,19.595,
2019-02-28,18350,49.467,11.007,
2019-02-28,18516,47.039,15.401,
2019-02-28,18859,50.793,4.358,
2019-02-28,18911,45.428,4.404,
2019-02-28,18915,45.428,4.404,
2019-02-28,18919,45.428,4.404,
2019-02-28,19055,49.809,8.899,
