date,id,lat,lon,country
2017-01-02,301,46.256,20.146,hu
2017-01-28,301,46.256,20.146,hu
2017-01-28,523,46.317,19.918,hu
2017-02-28,301,46.256,20.146,hu
2017-02-28,523,46.317,19.918,hu
2017-03-28,301,46.256,20.146,hu
2017-04-28,1759,46.266,20.062,hu
2017-04-28,301,46.256,20.146,hu
2017-05-28,1759,46.266,20.062,hu
2017-05-28,301,46.256,20.146,hu
2017-06-28,1759,46.266,20.062,hu
2017-06-28,301,46.256,20.146,hu
2017-07-28,1759,46.266,20.062,hu
2017-07-28,301,46.256,20.146,hu
2017-08-28,1759,46.266,20.062,hu
2017-09-28,1759,46.266,20.062,hu
2017-09-28,523,46.317,19.918,hu
2017-10-28,1759,46.266,20.062,hu
2017-10-28,523,46.317,19.918,hu
2017-11-28,1759,46.266,20.062,hu
2017-12-28,1759,46.266,20.062,hu
2017-12-28,523,46.317,19.918,hu
2018-01-28,1759,46.266,20.062,hu
2018-01-28,301,46.256,20.146,hu
2018-01-28,523,46.317,19.918,hu
2018-01-28,7699,47.793,19.125,hu
2018-02-28,1759,46.266,20.062,hu
2018-02-28,301,46.256,20.146,hu
2018-02-28,523,46.317,19.918,hu
2018-02-28,7699,47.793,19.125,hu
2018-03-28,1759,46.266,20.062,hu
2018-03-28,301,46.256,20.146,hu
2018-03-28,7699,47.793,19.125,hu
2018-04-28,12427,46.305,17.608,hu
2018-04-28,1759,46.266,20.062,hu
2018-04-28,301,46.256,20.146,hu
2018-04-28,523,46.317,19.918,hu
2018-04-28,7699,47.793,19.125,hu
2018-05-28,12427,46.305,17.608,hu
2018-05-28,13722,47.507,19.073,hu
2018-05-28,1759,46.266,20.062,hu
2018-05-28,301,46.256,20.146,hu
2018-05-28,7699,47.793,19.125,hu
2018-06-28,12427,46.305,17.608,hu
2018-06-28,13722,47.507,19.073,hu
2018-06-28,14344,47.483,19.123,hu
2018-06-28,1759,46.266,20.062,hu
2018-06-28,301,46.256,20.146,hu
2018-06-28,7699,47.793,19.125,hu
2018-07-28,12427,46.305,17.608,hu
2018-07-28,13722,47.507,19.073,hu
2018-07-28,14344,47.483,19.123,hu
2018-07-28,301,46.256,20.146,hu
2018-07-28,7699,47.793,19.125,hu
2018-08-28,12427,46.305,17.608,hu
2018-08-28,13722,47.507,19.073,hu
2018-08-28,14344,47.483,19.123,hu
2018-08-28,15878,46.076,18.222,hu
2018-08-28,7699,47.793,19.125,hu
2018-09-28,12427,46.305,17.608,hu
2018-09-28,13722,47.507,19.073,hu
2018-09-28,14344,47.483,19.123,hu
2018-09-28,15878,46.076,18.222,hu
2018-09-28,301,46.256,20.146,hu
2018-09-28,7699,47.793,19.125,hu
2018-10-28,12427,46.305,17.608,hu
2018-10-28,14344,47.483,19.123,hu
2018-10-28,15878,46.076,18.222,hu
2018-10-28,7699,47.793,19.125,hu
2018-11-28,12427,46.305,17.608,hu
2018-11-28,14344,47.483,19.123,hu
2018-11-28,15878,46.076,18.222,hu
2018-11-28,301,46.256,20.146,hu
2018-11-28,523,46.317,19.918,hu
2018-11-28,7699,47.793,19.125,hu
2018-12-28,13722,47.507,19.073,hu
2018-12-28,14344,47.483,19.123,hu
2018-12-28,15878,46.076,18.222,hu
2018-12-28,19266,47.511,19.05,hu
2018-12-28,7699,47.793,19.125,hu
2019-01-28,14344,47.483,19.123,hu
2019-01-28,1759,46.266,20.062,hu
2019-01-28,19266,47.511,19.05,hu
2019-01-28,19977,47.488,19.065,hu
2019-01-28,19981,47.488,19.065,hu
2019-01-28,523,46.317,19.918,hu
2019-01-28,7699,47.793,19.125,hu
2019-02-28,14344,47.483,19.123,hu
